Model Number;Layer Number;Gaussian Noise;Convolutional;Transpose Convolution;Filters;Kernel Size;Max Pooling Applied;Dropout rate;Number of Dense Nodes;Is Final Layer;Activation Function;Loss Function;Optimizer;Batch Size;Learning Rate;Momentum;Epochs;Final Training Accuracy;Final Validation Accuracy;Electron Efficiency;Pion Efficiency;nPions;nElectrons;P range;Scaling Strategy;Dataset Used
M28;3;;;;;;;0,2;512;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;20;0,73;0,728;0,9;0,1003;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M28;4;;;;;;;0,2;256;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;20;0,73;0,728;0,9;0,1003;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M28;5;;;;;;;0,2;128;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;20;0,73;0,728;0,9;0,1003;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M28;6;;;;;;;;1;TRUE;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;20;0,73;0,728;0,9;0,1003;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M29;1;0,2;;;;;;;;;None;Binary Crossentropy;Adam;32;0,00001;;20;0,525;0,675;0,9;0,4885;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M29;2;;TRUE;;16;17x24;;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;20;0,525;0,675;0,9;0,4885;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M29;3;;;;;;;0,8;128;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;20;0,525;0,675;0,9;0,4885;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M29;4;;;;;;;;1;TRUE;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;20;0,525;0,675;0,9;0,4885;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M30;1;0,2;;;;;;;;;None;Binary Crossentropy;Adam;32;0,00001;;20;0,545;0,69;0,9;0,474;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M30;2;;TRUE;;16;17x24;;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;20;0,545;0,69;0,9;0,474;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M30;3;;;;;;;;128;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;20;0,545;0,69;0,9;0,474;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M30;4;;;;;;;0,2;64;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;20;0,545;0,69;0,9;0,474;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
;;;;;;;;0,2;1;TRUE;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;20;0,545;0,69;0,9;0,474;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M31;1;0,2;;;;;;;;;None;Binary Crossentropy;Adam;32;0,00001;;20;0,55;0,65;0,9;0,4629;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M31;2;;TRUE;;16;17x24;;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;20;0,55;0,65;0,9;0,4629;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M31;3;;;;;;;0,2;256;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;20;0,55;0,65;0,9;0,4629;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M31;4;;;;;;;0,2;128;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;20;0,55;0,65;0,9;0,4629;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M31;5;;;;;;;0,2;64;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;20;0,55;0,65;0,9;0,4629;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M31;6;;;;;;;;1;TRUE;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;20;0,55;0,65;0,9;0,4629;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M32;1;0,2;;;;;;;;;None;Binary Crossentropy;Adam;32;0,00001;;20;0,551;0,51;0,9;0,319;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M32;2;;TRUE;;16;3x3;;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;20;0,551;0,51;0,9;0,319;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M32;3;;TRUE;;32;3x3;TRUE;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;20;0,551;0,51;0,9;0,319;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M32;4;;;;;;;;512;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;20;0,551;0,51;0,9;0,319;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M32;5;;;;;;;;256;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;20;0,551;0,51;0,9;0,319;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M32;6;;;;;;;;128;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;20;0,551;0,51;0,9;0,319;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M32;7;;;;;;;;1;TRUE;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;20;0,551;0,51;0,9;0,319;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M33;1;;TRUE;;16;8x12;;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;20;0,729;0,726;0,9;0,0869;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M33;2;;TRUE;;16;5x5;TRUE;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;20;0,729;0,726;0,9;0,0869;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M33;3;;TRUE;;16;3x3;;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;20;0,729;0,726;0,9;0,0869;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M33;4;;;;;;;0,8;128;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;20;0,729;0,726;0,9;0,0869;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M33;5;;;;;;;;1;TRUE;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;20;0,729;0,726;0,9;0,0869;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M34;1;;TRUE;;16;3x3;;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;20;0,739;0,738;0,9;0,0571;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M34;2;;;;;;;0,2;256;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;20;0,739;0,738;0,9;0,0571;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M34;3;;;;;;;0,2;128;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;20;0,739;0,738;0,9;0,0571;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M34;4;;;;;;;;1;TRUE;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;20;0,739;0,738;0,9;0,0571;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M35;1;;TRUE;;16;3x3;;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;100;0,738;0,737;0,9;0,0645;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M35;2;;;;;;;0,2;256;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,738;0,737;0,9;0,0645;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M35;3;;;;;;;0,2;128;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,738;0,737;0,9;0,0645;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M35;4;;;;;;;0,2;128;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,738;0,737;0,9;0,0645;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M35;5;;;;;;;0,2;128;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,738;0,737;0,9;0,0645;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M35;6;;;;;;;0,2;128;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,738;0,737;0,9;0,0645;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M35;7;;;;;;;;1;TRUE;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,738;0,737;0,9;0,0645;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M36;1;;TRUE;;16;3x3;;;;;ReLU;Binary Crossentropy;Adam;32;0,0000001;;100;0,715;0,71;0,9;0,2411;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M36;2;;;;;;;0,2;256;;Sigmoid;Binary Crossentropy;Adam;32;0,0000001;;100;0,715;0,71;0,9;0,2411;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M36;3;;;;;;;0,2;128;;Sigmoid;Binary Crossentropy;Adam;32;0,0000001;;100;0,715;0,71;0,9;0,2411;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M36;4;;;;;;;0,2;128;;Sigmoid;Binary Crossentropy;Adam;32;0,0000001;;100;0,715;0,71;0,9;0,2411;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M36;5;;;;;;;0,2;128;;Sigmoid;Binary Crossentropy;Adam;32;0,0000001;;100;0,715;0,71;0,9;0,2411;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M36;6;;;;;;;0,2;128;;Sigmoid;Binary Crossentropy;Adam;32;0,0000001;;100;0,715;0,71;0,9;0,2411;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M36;7;;;;;;;;1;TRUE;Sigmoid;Binary Crossentropy;Adam;32;0,0000001;;100;0,715;0,71;0,9;0,2411;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M37;1;;TRUE;;16;3x3;;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;100;0,749;0,745;0,9;0,0451;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M37;2;;TRUE;;32;3x3;TRUE;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;100;0,749;0,745;0,9;0,0451;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M37;3;;;;;;;0,2;512;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,749;0,745;0,9;0,0451;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M37;4;;;;;;;0,2;256;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,749;0,745;0,9;0,0451;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M37;5;;;;;;;0,2;128;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,749;0,745;0,9;0,0451;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M37;6;;;;;;;;1;TRUE;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;200;0,749;0,745;0,9;0,0451;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M38;1;;TRUE;TRUE;16;3x5;;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;200;0,751;0,748;0,9;0,03875;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M38;2;;TRUE;;32;3x5;TRUE;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;200;0,751;0,748;0,9;0,03875;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M38;3;;;;;;;0,2;512;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;200;0,751;0,748;0,9;0,03875;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M38;4;;;;;;;0,2;256;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;200;0,751;0,748;0,9;0,03875;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M38;5;;;;;;;0,2;128;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;200;0,751;0,748;0,9;0,03875;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M38;6;;;;;;;;1;TRUE;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;200;0,751;0,748;0,9;0,03875;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M39;1;;TRUE;TRUE;16;3x5;;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;200;0,741;0,74;0,9;0,0424;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M39;2;;TRUE;;32;3x5;TRUE;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;200;0,741;0,74;0,9;0,0424;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M39;3;;;;;;;0,5;512;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;200;0,741;0,74;0,9;0,0424;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M39;4;;;;;;;0,5;256;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;200;0,741;0,74;0,9;0,0424;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M39;5;;;;;;;0,5;128;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;200;0,741;0,74;0,9;0,0424;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M39;6;;;;;;;;1;TRUE;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;200;0,741;0,74;0,9;0,0424;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M40;1;;TRUE;TRUE;32;3x5;;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;100;0,75;0,749;0,9;0,0425;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M40;2;;TRUE;;34;3x5;TRUE;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;100;0,75;0,749;0,9;0,0425;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M40;3;;;;;;;0,2;512;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,75;0,749;0,9;0,0425;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M40;4;;;;;;;0,2;256;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,75;0,749;0,9;0,0425;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M40;5;;;;;;;0,2;128;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,75;0,749;0,9;0,0425;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M40;6;;;;;;;;1;TRUE;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,75;0,749;0,9;0,0425;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M41;1;;TRUE;TRUE;16;3x5;TRUE;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;100;0,739;0,738;0,9;0,0496;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M41;2;;TRUE;;32;3x5;TRUE;0,2;512;;ReLU;Binary Crossentropy;Adam;32;0,00001;;100;0,739;0,738;0,9;0,0496;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M41;3;;;;;;;0,2;256;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,739;0,738;0,9;0,0496;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M41;4;;;;;;;0,2;128;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,739;0,738;0,9;0,0496;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M41;5;;;;;;;;1;TRUE;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,739;0,738;0,9;0,0496;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M42;1;;TRUE;TRUE;16;3x5;;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;100;0,75;0,748;0,9;0,0428;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M42;2;;TRUE;;32;3x5;TRUE;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;100;0,75;0,748;0,9;0,0428;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M42;3;;;;;;;;1024;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,75;0,748;0,9;0,0428;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M42;4;;;;;;;0,2;512;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,75;0,748;0,9;0,0428;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M42;5;;;;;;;0,2;256;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,75;0,748;0,9;0,0428;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M42;6;;;;;;;0,2;128;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,75;0,748;0,9;0,0428;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M42;7;;;;;;;0,2;1;TRUE;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,75;0,748;0,9;0,0428;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M43;1;;TRUE;TRUE;16;3x5;;;;;ReLU;Binary Crossentropy;Adam;32;0,000001;;100;0,72;0,71;0,9;0,103;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M43;2;;TRUE;;32;3x5;TRUE;;;;ReLU;Binary Crossentropy;Adam;32;0,000001;;100;0,72;0,71;0,9;0,103;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M43;3;;;;;;;0,2;512;;Sigmoid;Binary Crossentropy;Adam;32;0,000001;;100;0,72;0,71;0,9;0,103;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M43;4;;;;;;;0,2;256;;Sigmoid;Binary Crossentropy;Adam;32;0,000001;;100;0,72;0,71;0,9;0,103;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M43;5;;;;;;;0,2;128;;Sigmoid;Binary Crossentropy;Adam;32;0,000001;;100;0,72;0,71;0,9;0,103;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M44;5;;;;;;;;1;TRUE;Sigmoid;Binary Crossentropy;Adam;32;0,000001;;100;0,72;0,71;0,9;0,103;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M44;1;;TRUE;TRUE;16;3x5;;;;;ReLU;Binary Crossentropy;Adam;32;0,000001;;100;0,72;0,71;0,9;0,1562;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M44;2;;TRUE;;32;3x5;TRUE;;;;ReLU;Binary Crossentropy;Adam;16;0,0000001;;100;0,715;0,72;0,9;0,1562;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M44;3;;;;;;;0,2;512;;Sigmoid;Binary Crossentropy;Adam;16;0,0000001;;100;0,715;0,72;0,9;0,1562;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M44;4;;;;;;;0,2;256;;Sigmoid;Binary Crossentropy;Adam;16;0,0000001;;100;0,715;0,72;0,9;0,1562;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M44;5;;;;;;;0,2;128;;Sigmoid;Binary Crossentropy;Adam;16;0,0000001;;100;0,715;0,72;0,9;0,1562;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M44;6;;;;;;;;1;TRUE;Sigmoid;Binary Crossentropy;Adam;16;0,0000001;;100;0,715;0,72;0,9;0,1562;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M45;1;;TRUE;TRUE;16;3x5;;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;100;0,7499;0,7498;0,9;0,0454;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M45;2;;TRUE;;32;3x5;TRUE;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;100;0,7499;0,7498;0,9;0,0454;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M45;3;;;;;;;0,2;512;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,7499;0,7498;0,9;0,0454;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M45;4;;;;;;;0,2;256;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,7499;0,7498;0,9;0,0454;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M45;5;;;;;;;0,2;128;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,7499;0,7498;0,9;0,0454;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M45;6;;;;;;;;1;TRUE;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,7499;0,7498;0,9;0,0454;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M46;1;;TRUE;TRUE;16;3x5;;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;100;0,7501;0,7499;0,9;0,0395;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M46;2;;TRUE;TRUE;32;3x5;;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;100;0,7501;0,7499;0,9;0,0395;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M46;3;;TRUE;;16;3x3;;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;100;0,7501;0,7499;0,9;0,0395;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M46;4;;TRUE;;16;3x3;TRUE;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;100;0,7501;0,7499;0,9;0,0395;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M46;5;;;;;;;0,2;512;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,7501;0,7499;0,9;0,0395;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M46;6;;;;;;;0,2;256;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,7501;0,7499;0,9;0,0395;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M46;7;;;;;;;0,2;128;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,7501;0,7499;0,9;0,0395;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
