binary_xentropy_loss
17.6456
16.0215
11.6529
13.4521
11.91
11.3401
11.1815
10.9860
10.8963
10.8729
10.8882
10.8957
10.8887
10.8624
10.8406
10.8560
10.8539
10.8567
10.8413
10.9122
10.8801
10.8833
10.8228
10.8480
10.8609
10.8783
10.78
10.6678
10.6533
10.6516
10.6258
10.6132
10.6140
10.5939
10.5924
10.5695
10.6233
10.5890
10.6173
