vae_loss
5.7542
0.5146
2.1263
0.5543
0.6451
0.5805
0.7609
0.6679
0.8980
0.8367
0.7582
0.5645
05143
0.5133
0.5110
0.5060
0.5055
0.5036
0.5072
0.5140
0.5064
0.6204
0.6064
0.5973
0.5916
0.5958
0.5955
0.5933
0.5937
0.5934
0.5909
0.5626
0.5122
0.5702
0.5020
0.5043
0.5023
0.5037
0.5115
0.5249
0.5019
1.3588
0.5257
0.4953
0.5098
0.5126
0.5076
0.5075
0.5025
0.5036
0.5106
0.5012
0.5015
0.5088
0.5104
0.5015
0.5162
0.508
0.4985
0.5069
0.5055
0.5058
0.5050
0.5062
0.5123
0.5027
0.5021
0.5041
0.5070
0.5153
0.5002
0.5006
0.5127
0.5015
0.4956
0.5107
0.5040
0.5123
0.4992
0.5050
0.5156
0.5162
0.5134
0.5133
0.5025
0.5134
0.5031
0.5042
0.5049
0.5059
0.5036
0.5005
0.5042
0.5018
0.5060
0.5093
0.5073
0.5062
0.4988
0.5049
0.5133
0.5
0.5051
0.5025
0.5113
0.51
0.5064
0.5063
0.5052
0.5058
0.5091
0.5055
0.5056
0.5080
0.5075
0.5064
0.5084
0.5089
0.5081
0.5097
0.5052
0.5059
0.5093
0.5054
0.5068
0.5064
0.5058
0.5082
0.5052
0.5078
0.5067
0.5093
0.5049 
0.5100 
0.5074
0.5079
0.5066
0.5089
0.5074
0.5048 
0.5087 
0.5100 
0.5078 
0.5057 
0.5088
0.5063 
0.5063 
0.5049 
0.5065 
0.5067 
0.5070 
0.5046 
0.5071 
0.5050 
0.5081 
0.5078 
0.5050 
0.5062 
0.5061 
0.5068 
0.5067 
0.5099 
0.5080
0.5061 
